year,province,month,age_group,dead_people,injury_people
2022,Chonburi,May,19-24,9,554
2022,Chonburi,May,25-35,20,858
2022,Chonburi,May,36-60,14,823
2022,Chonburi,May,60++,4,145
2022,Chonburi,June,1-14,3,158
2022,Chonburi,June,15-18,3,304
2022,Chonburi,June,19-24,2,578
2022,Chonburi,June,25-35,15,926
2022,Chonburi,June,36-60,9,910
2022,Chonburi,June,60++,3,139
2022,Chonburi,July,1-14,2,175
2022,Chonburi,July,15-18,5,298
2022,Chonburi,July,19-24,6,646
2022,Chonburi,July,25-35,15,932
2022,Chonburi,July,36-60,17,966
2022,Chonburi,July,60++,2,170
2022,Chonburi,August,1-14,1,187
2022,Chonburi,August,15-18,3,355
2022,Chonburi,August,19-24,6,602
2022,Chonburi,August,25-35,15,988
2022,Chonburi,August,36-60,20,1005
2022,Chonburi,August,60++,6,183
2022,Chonburi,September,1-14,2,186
2022,Chonburi,September,15-18,7,335
2022,Chonburi,September,19-24,3,608
2022,Chonburi,September,25-35,20,970
2022,Chonburi,September,36-60,22,947
2022,Chonburi,September,60++,2,178
2022,Chonburi,October,1-14,2,148
2022,Chonburi,October,15-18,3,301
2022,Chonburi,October,19-24,8,633
2022,Chonburi,October,25-35,18,1047
2022,Chonburi,October,36-60,13,996
2022,Chonburi,October,60++,4,178
2022,Chonburi,November,1-14,0,173
2022,Chonburi,November,15-18,4,386
2022,Chonburi,November,19-24,7,658
2022,Chonburi,November,25-35,20,977
2022,Chonburi,November,36-60,19,969
2022,Chonburi,November,60++,5,193
2022,Chonburi,December,1-14,1,143
2022,Chonburi,December,15-18,0,211
2022,Chonburi,December,19-24,8,444
2022,Chonburi,December,25-35,8,682
2022,Chonburi,December,36-60,18,675
2022,Chonburi,December,60++,6,133
2022,Nakhon-Ratchasima,January,1-14,0,193
2022,Nakhon-Ratchasima,January,15-18,7,269
2022,Nakhon-Ratchasima,January,19-24,11,384
2022,Nakhon-Ratchasima,January,25-35,13,483
2022,Nakhon-Ratchasima,January,36-60,16,774
2022,Nakhon-Ratchasima,January,60++,7,226
2022,Nakhon-Ratchasima,February,1-14,0,170
2022,Nakhon-Ratchasima,February,15-18,4,272
2022,Nakhon-Ratchasima,February,19-24,2,322
2022,Nakhon-Ratchasima,February,25-35,3,436
2022,Nakhon-Ratchasima,February,36-60,13,638
2022,Nakhon-Ratchasima,February,60++,4,229
